X,Y,Z,M
28.244283,3.565363,-10.51,2.959660925
28.359954,3.359282,-7.315,2.735875294
28.366629,3.455719,-7.711,2.578037348
28.230587,3.556082,-10.795,2.552679765
28.360898,3.399032,-7.13,2.602403715
28.37246,3.501657,-10.448,2.778624038
28.420179,3.372639,-8.802,1.966666643
28.241016,3.568966,-10.264,3.298468379
28.377991,3.381813,-8.223,3.528930452
28.343702,3.381176,-11.703,2.359740935
28.360562,3.604873,-7.194,2.645894879
28.389964,3.37941,-9.308,2.95279292
28.423405,3.364488,-10.046,2.81956221
28.366582,3.458417,-7.121,2.635858789
28.378806,3.396928,-7.596,3.443068102
28.256259,3.551644,-11.03,2.580572804
28.241993,3.591057,-8.762,3.401089688
28.241116,3.588053,-9.949,3.970628227
28.363192,3.370897,-8.79,2.965714241
28.359674,3.788706,-15.351,3.595670745
28.35897,3.787782,-15.582,2.931711925
28.358034,3.791395,-15.464,2.666165166
28.364126,3.389227,-12.455,2.948731748
28.410985,3.368291,-9.624,2.466102733
28.235803,3.600808,-10.355,2.539857175
28.365001,3.786014,-14.759,2.54013292
28.369866,3.616046,-10.921,2.505667097
28.235736,3.587532,-8.894,2.460515436
28.392655,3.597806,-8.893,2.507086547
28.239165,3.585275,-7.837,2.395915288
28.36349,3.384507,-7.38,2.679405141
28.357539,3.375934,-9.168,2.893581013
28.359934,3.618342,-8.946,2.981017407
28.383952,3.613831,-5.371,2.527835313
28.35786,3.612513,-9.129,2.390601823
28.67503,3.432609,-21.232,2.613004241
28.355785,3.616355,-8.13,2.761290782
28.614911,3.367388,-6.462,2.513073977
28.354792,3.607054,-7.236,2.357601118
28.368611,3.579563,-9.645,2.789626538
28.361022,3.610969,-9.466,2.545397422
28.383551,3.618014,-8.767,3.107896525
28.358731,3.613163,-9.305,2.35909722
28.238641,3.56065,-11.728,3.756596339
28.239638,3.58276,-7.51,2.609998043
28.367644,3.577191,-5.563,3.015362762
28.237345,3.561889,-10.851,2.660643097
28.390325,3.55827,-9.542,2.437202696
28.378852,3.616329,-8.287,2.756969604
28.37208,3.489482,-14.645,2.786548984
28.388364,3.618688,-9.975,2.921450828
28.241787,3.562625,-10.795,3.06844252
28.379275,3.611981,-8.465,2.899418618
28.416398,3.430541,-4.323,3.013436392
28.404756,3.428828,-6.797,3.568189628
28.240254,3.589148,-9.05,3.803519395
28.241859,3.562034,-11.045,3.160298315
28.389788,3.583148,-8.488,2.809096359
28.362106,3.389488,-10.708,3.440115528
28.417597,3.593079,-9.113,2.753133276
28.240542,3.588063,-8.732,3.20103477
28.385358,3.596259,-8.73,2.585680565
28.416539,3.556888,-7.522,3.045020278
28.409091,3.450076,-4.987,2.705765986
28.363954,3.582747,-9.249,2.920722983
28.37778,3.369648,-8.45,2.486045494
28.369009,3.473916,-8.866,2.555581531
28.39113,3.58409,-9.487,2.436822992
28.249453,3.591195,-8.898,3.141395133
28.369655,3.372995,-12.415,3.060752107
28.39771,3.390593,-8.233,2.413943738
28.404425,3.389357,-7.244,2.390462134
28.367547,3.425475,-7.554,2.347558601
28.407731,3.399169,-7.054,2.907848803
28.361625,3.491064,-7.393,2.608524166
28.359501,3.439473,-7.597,2.569052664
28.42396,3.362308,-9.268,2.663125285
28.352629,3.410841,-7.646,2.680087705
28.362861,3.361854,-6.081,3.26904385
28.395759,3.617259,-8.193,3.94837261
28.235939,3.589109,-8.189,3.055266553
28.364676,3.379104,-7.521,3.076341622
28.368425,3.617756,-9.705,2.735630203
28.385463,3.351527,-11.038,2.827247786
28.360968,3.555404,-7.833,2.581237627
28.430693,3.369349,-7.303,2.682902809
28.400324,3.366574,-8.276,2.677687868
28.426812,3.368217,-8.481,2.603946915
28.360451,3.625487,-9.485,2.582487225
28.349717,3.613847,-8.796,2.867537094
28.426232,3.368595,-8.475,2.829042361
28.370858,3.3778,-11.388,2.645494635
28.420227,3.372966,-8.926,2.447233674
28.35708,3.611845,-9.307,3.237330984
28.432246,3.364225,-7.819,2.494829712
28.360518,3.618302,-8.733,2.778023032
28.428646,3.368853,-7.488,2.387263483
28.429157,3.362429,-8.534,2.309670486
28.409477,3.598757,-9.904,3.235936113
28.354109,3.613681,-8.378,2.603088408
28.369364,3.371493,-12.561,2.777117948
28.363053,3.534495,-10.224,2.587613737
28.363402,3.408132,-7.369,2.987128471
28.37918,3.623048,-9.301,2.787650611
28.248707,3.599296,-9.266,2.639731389
28.370252,3.596499,-8.807,2.327936722
28.362176,3.391451,-9.329,2.563618784
28.13592,3.72725,-8.498,2.682034429
28.36666,3.392523,-8.102,2.282523945
28.13706,3.720746,-7.956,2.982009037
28.377507,3.406243,-3.787,2.067032979
